"unix_time","time_utc","time_local","label","frontend_cpu","frontend_memory","productcatalogservice_cpu","productcatalogservice_memory","cartservice_cpu","cartservice_memory","checkoutservice_cpu","checkoutservice_memory","redis_cart_cpu","redis_cart_memory","paymentservice_cpu","paymentservice_memory","currencyservice_cpu","currencyservice_memory","shippingservice_cpu","shippingservice_memory"
"1781212789","2026-06-11 21:19:49","2026-06-12 05:19:49","0","0.0211010274369735","23314432","0.0112878014295814","12681216","0.00918838400260081","63934464","0.00234839560943891","13012992","0.00466953126752991","7475200","0.00208469251336901","61644800","0.0137308278769394","75915264","0.00228147448430393","10743808"
"1781212804","2026-06-11 21:20:04","2026-06-12 05:20:04","0","0.0163522555788011","23314432","0.0144255764275804","13008896","0.0108755975952562","63938560","0.0024141653839576","12767232","0.00497134450872766","7213056","0.00218267842330027","61644800","0.0157562472686824","75567104","0.00131724534029615","10743808"
"1781212819","2026-06-11 21:20:19","2026-06-12 05:20:19","0","0.0253775157372108","23478272","0.0148833174046938","13262848","0.0117423779771692","64204800","0.00167599214145386","13021184","0.00500135897261674","7471104","0.0018579083837511","61939712","0.0178045315396883","75829248","0.00158240137372312","10788864"
"1781212834","2026-06-11 21:20:34","2026-06-12 05:20:34","0","0.017871259223745","23478272","0.0153435209600731","12394496","0.0132426255267481","63897600","0.00212306904754737","13021184","0.00501021964612565","7213056","0.00193044543088927","62218240","0.0199921064648704","76324864","0.00179313290058077","10858496"
"1781212849","2026-06-11 21:20:49","2026-06-12 05:20:49","0","0.0320510737693488","23265280","0.0137116939764151","12451840","0.0138230992196211","64176128","0.00158576166485231","12759040","0.00485609945920058","7213056","0.00147007394514767","61620224","0.0218575251991104","76255232","0.00223113207547177","11005952"
"1781212864","2026-06-11 21:21:04","2026-06-12 05:21:04","0","0.0314503554959899","23580672","0.0136560754189942","12451840","0.0140800909491658","64540672","0.00107990419649912","12759040","0.00459807338868111","7213056","0.00129744173158065","61620224","0.017986904948325","75890688","0.00341934899814923","11149312"
"1781212879","2026-06-11 21:21:19","2026-06-12 05:21:19","0","0.0334547336597545","23588864","0.0146643992225904","12546048","0.0161768165857808","63995904","0.00174507955551747","12828672","0.00485665726155832","7213056","0.00165726848528362","62529536","0.016762517293145","75890688","0.00376319546261286","10764288"
"1781212894","2026-06-11 21:21:34","2026-06-12 05:21:34","0","0.0308892868906453","23289856","0.013923513104839","12726272","0.013251048401818","63995904","0.00174286746117733","12832768","0.00467272457060358","7475200","0.00220595257042817","62435328","0.0136822753995962","76238848","0.00368593452838587","10768384"
"1781212909","2026-06-11 21:21:49","2026-06-12 05:21:49","0","0.0275685815904439","23179264","0.0051493000000003","12726272","0.0166664908049439","64000000","0.00220565992437428","12832768","0.00498678583646949","7483392","0.00218935799018205","62681088","0.0127347432942633","76238848","0.00216043998127735","10764288"
"1781212924","2026-06-11 21:22:04","2026-06-12 05:22:04","0","0.0222629432657426","23339008","0.00996034816247598","12849152","0.0138741926194092","64000000","0.00138164464428568","12828672","0.00470852989927317","7213056","0.00218472697088872","62795776","0.0115470009788103","76591104","0.0014997156137839","10801152"
